iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
25500,,6.9099,7.5309,7.5309
25600,,6.9099,7.5309,7.5309
25700,,6.9099,7.5309,7.5309
25800,,6.8762,7.5309,7.5309
25900,,6.8762,7.5309,7.5309
26000,,6.8762,7.5309,7.5309
26100,,6.8762,7.5309,7.5309
26200,,6.8611,7.5309,7.5309
26300,,6.8611,7.5309,7.5309
26400,,6.8611,7.5309,7.5309
26500,,6.8510,7.5309,7.5309
26600,,6.8510,7.5309,7.5309
26700,,,7.5309,7.5309
26800,,,7.5309,7.5309
26900,,,7.5309,7.5309
27000,,,7.5309,7.5309
27100,,,7.5309,7.5309
27200,,,7.5309,7.5309
27300,,,7.5309,7.5309
27400,,,7.5309,7.5309
27500,,,7.5309,7.5309
27600,,,7.5309,7.5309
27700,,,7.5309,7.5309
27800,,,7.5309,7.5309
27900,,,7.5309,7.5309
28000,,,7.5309,7.5309
28100,,,7.5309,7.5309
28200,,,7.5309,7.5309
28300,,,7.5309,7.5309
28400,,,7.5309,7.5309
28500,,,7.5309,7.5309
28600,,,7.5309,7.5309
28700,,,7.5309,7.5309
28800,,,7.5309,7.5309
28900,,,7.5309,7.5309
29000,,,7.5309,7.5309
29100,,,7.5309,7.5309
29200,,,7.5309,7.5309
29300,,,7.5309,7.5309
29400,,,7.5309,7.5309
29500,,,7.5309,7.5309
29600,,,7.5309,7.5309
29700,,,7.5309,7.5309
29800,,,7.5309,7.5309
29900,,,7.5309,7.5309
30000,,,7.5309,7.5309
30100,,,7.5309,7.5309
30200,,,7.5309,7.5309
30300,,,7.5309,7.5309
30400,,,7.5309,7.5309
30500,,,7.5309,7.5309
30600,,,7.5309,7.5309
30700,,,7.5309,7.5309
30800,,,7.5309,7.5309
30900,,,7.5309,7.5309
31000,,,7.5309,7.5309
31100,,,7.5309,7.5309
31200,,,7.5309,7.5309
31300,,,7.5309,7.5309
31400,,,7.5309,7.5309
31500,,,7.5309,7.5309
31600,,,7.5309,7.5309
31700,,,7.5309,7.5309
31800,,,7.5309,7.5309
31900,,,7.5309,7.5309
32000,,,7.5309,7.5309
32100,,,7.5309,7.5309
32200,,,7.5309,7.5309
32300,,,7.5309,7.5309
32400,,,7.5309,7.5309
32500,,,7.5309,7.5309
32600,,,7.5309,7.5309
32700,,,7.5309,7.5309
32800,,,7.5309,7.5309
32900,,,7.5309,7.5309
33000,,,7.5309,7.5309
33100,,,7.5309,7.5309
33200,,,7.5309,7.5309
33300,,,7.5309,7.5309
33400,,,7.5309,7.5309
33500,,,7.5309,7.5309
33600,,,7.5309,7.5309
33700,,,7.5309,7.5309
33800,,,7.5309,7.5309
33900,,,7.5309,7.5309
34000,,,7.5309,7.5309
34100,,,7.5309,7.5309
34200,,,7.5309,7.5309
34300,,,7.5309,7.5309
34400,,,7.5309,7.5309
34500,,,7.5309,7.5309
34600,,,7.5309,7.5309
34700,,,7.5309,7.5309
34800,,,7.5309,7.5309
34900,,,7.5309,7.5309
35000,,,7.5309,7.5309
35100,,,7.5309,7.5309
35200,,,7.5309,7.5309
35300,,,7.5309,7.5309
35400,,,7.5309,7.5309
35500,,,7.5309,7.5309
35600,,,7.5309,7.5309
35700,,,7.5309,7.5309
35800,,,7.5309,7.5309
35900,,,7.5309,7.5309
36000,,,7.5309,7.5309
36100,,,7.5309,7.5309
36200,,,7.5309,7.5309
36300,,,7.5309,7.5309
36400,,,7.5309,7.5309
36500,,,7.5309,7.5309
36600,,,7.5309,7.5309
36700,,,7.5309,7.5309
36800,,,7.5309,7.5309
36900,,,7.5309,7.5309
37000,,,7.5309,7.5309
37100,,,7.5309,7.5309
37200,,,7.5309,7.5309
37300,,,7.5309,7.5309
37400,,,7.5309,7.5309
37500,,,7.5309,7.5309
37600,,,7.5309,7.5309
37700,,,7.5309,7.5309
37800,,,7.5309,7.5309
37900,,,7.5309,7.5309
38000,,,7.5309,7.5309
38100,,,7.5309,7.5309
38200,,,7.5309,7.5309
38300,,,7.5309,7.5309
38400,,,7.5309,7.5309
38500,,,7.5309,7.5309
38600,,,7.5309,7.5309
38700,,,7.5309,7.5309
38800,,,7.5309,7.5309
38900,,,7.5309,7.5309
39000,,,7.5309,7.5309
39100,,,7.5309,7.5309
39200,,,7.5309,7.5309
39300,,,7.5309,7.5309
39400,,,7.5309,7.5309
39500,,,7.5309,7.5309
39600,,,7.5309,7.5309
39700,,,7.5309,7.5309
39800,,,7.5309,7.5309
39900,,,7.5309,7.5309
40000,,,7.5309,7.5309
40100,,,7.5309,7.5309
40200,,,7.5309,7.5309
